Week,Topic,Subtopic,,ContentType,Content,concepts
1,Variables,,1,code_sample,"public class HelloWorld {
  public static void main(String[] args) {
   int x = 2;
   double d = 10.0;
   String name = ""Luke Skywalker"";
   System.out.print(""The total is "");
   System.out.println(""Hello World"");
  }
 }
",
1,Variables,,1,code_sample,"package edu.pitt.is17.lec02;
public class Variables1 {
 public static void main(String[] args) {
  // Here there are a couple of examples of variables in java
  int number;
  number = 10;
  int anotherNumber = 10;
  // this is a numeric variable that can have decimals 
  double thirdNumber = 0.5;
  
  // name conventions on variables
  int thisIsAnotherVariableOfMine;
  
 }
}
",
1,Variables,,1,code_sample,"package edu.pitt.is17.lec02;
public class Variables01 {
 public static void main(String[] args) {
  int myNumber; // declaration
  myNumber = 3; // initialization
  
  int n = 1; // declaration and initialization at once
  
  double realNumber = 0.5; // real number variable
  
  realNumber = n; // int can be stored in double (but not vice versa)
  
  System.out.println(realNumber);
 }
}
",
1,Variables,,1,code_sample,"package edu.pitt.is17.lec02;
public class Variables2 {
 public static void main(String[] args) {
  // 
  int n = 1;
  double d = n*1.5;
  
  System.out.println(b);
 }
}
",
1,Variables,,1,code_sample,"package edu.pitt.is17.lec02;
public class Variables3 {
 public static void main(String[] args) {
  
  // Arithmetic operations follow common order of operations, but
  // we can use ( ) too.
  double a = (4.0 + 3.0) * (1.0 / 2.0);
  
  System.out.println(a);
  // mod operator is the remainder of the integer division
  int b = 10 % 4;
  System.out.println(b);
  
  // increment and decrement unary operators 
  b++; // b = b + 1; 
  System.out.println(b);
  
  int d = b--;
  
  
 }
}
",
2,2-primitive-data-types,,2,code_sample,"package edu.pitt.is17.lec02;
public class Consversions1 {
 /**
  * This program shows hot to convert from number to 
  * string and from string to number
  * 
  */
 public static void main(String[] args) {
  
  double a = 3.5;
  String aAsString = a+""""; // simplest conversion, concatenate to an empty string, makes it a string
  
  String numberStr = ""3.5"";
  String numberStr2 = ""3"";
  
  // these are used to convert from string to number (double or int)
  double number = Double.parseDouble(numberStr); 
  int n = Integer.parseInt(numberStr2);
  System.out.println(number/2);
 }
}
",
2,2-primitive-data-types,,2,code_sample,"package edu.pitt.is17.lec02;
public class NameConventions {
 public static void main(String[] args) {
  // Name conventions for variables
  int number;
  int thisIsMyFirstVariable;
 }
}
",
2,2-primitive-data-types,,2,code_sample,"package edu.pitt.is17.lec02;
public class NumberStringConversion {
 public static void main(String[] args) {
  String numberStr = ""10"";
  
  int n = Integer.parseInt(numberStr);
  
  double d = Double.parseDouble(""0.5325"");
 }
}
",
2,2-primitive-data-types,,2,code_sample,"public class PrimitiveDataTypes
{
 public static void main(String[] args)
 {
  byte byteNumber = 7;
  short shortNumber = 1234;
  int integerNumber = 1;
  long longNumber = 123456789L;
  float floatNumber = 1.2F;
  double doubleNumber = 1.496;
  boolean b = true;
  boolean c = false;
  char myChar = 'X';
 }
}",
3,3-constants,,3,code_sample,"package edu.pitt.is17.lec02;
public class Constants1 {
